ID Emenda,Empenhado,Liqudado,Pago,Reservado,Data da Ultima atualização
066.21.30.2026,0,0,0,0,
102.15.02.2026,0,0,0,0,
102.19.02.2026,0,0,0,0,
102.03.02.2026,0,0,0,0,
102.20.02.2026,0,0,0,0,
102.01.02.2026,0,0,0,0,
102.18.02.2026,0,0,0,0,
102.11.02.2026,0,0,0,0,
102.21.02.2026,0,0,0,0,
102.10.02.2026,0,0,0,0,
102.12.02.2026,0,0,0,0,
102.02.02.2026,0,0,0,0,
102.14.02.2026,0,0,0,0,
102.08.02.2026,0,0,0,0,
102.06.02.2026,0,0,0,0,
078.21.09.2026,0,0,0,0,
078.21.09.2026,0,0,0,0,
078.02.09.2026,0,0,0,0,
140.21.09.2026,0,0,0,0,
140.13.09.2026,0,0,0,0,
078.02.09.2026,0,0,0,0,
138.03.09.2026,0,0,0,0,
138.20.09.2026,0,0,0,0,
138.06.09.2026,0,0,0,0,
138.17.09.2026,0,0,0,0,
138.01.09.2026,0,0,0,0,
138.18.09.2026,0,0,0,0,
138.05.09.2026,0,0,0,0,
138.15.09.2026,0,0,0,0,
138.09.09.2026,0,0,0,0,
138.08.09.2026,0,0,0,0,
138.19.09.2026,0,0,0,0,
138.21.09.2026,0,0,0,0,
138.02.09.2026,0,0,0,0,
138.14.09.2026,0,0,0,0,
138.10.09.2026,0,0,0,0,
138.04.09.2026,0,0,0,0,
138.12.09.2026,0,0,0,0,
138.11.09.2026,0,0,0,0,
106.17.09.2026,0,0,0,0,
106.19.09.2026,0,0,0,0,
106.18.09.2026,0,0,0,0,
106.02.09.2026,0,0,0,0,
106.20.09.2026,0,0,0,0,
106.21.09.2026,0,0,0,0,
106.05.09.2026,0,0,0,0,
106.15.09.2026,0,0,0,0,
106.04.09.2026,0,0,0,0,
106.11.09.2026,0,0,0,0,
106.03.09.2026,0,0,0,0,
106.08.09.2026,0,0,0,0,
106.14.09.2026,0,0,0,0,
106.06.09.2026,0,0,0,0,
106.09.09.2026,0,0,0,0,
106.12.09.2026,0,0,0,0,
068.17.12.2026,0,0,0,0,
134.03.12.2026,0,0,0,0,
136.03.12.2026,0,0,0,0,
132.01.12.2026,0,0,0,0,
133.01.12.2026,0,0,0,0,
108.08.12.2026,0,0,0,0,
133.06.12.2026,0,0,0,0,
111.08.12.2026,0,0,0,0,
109.12.12.2026,0,0,0,0,
134.02.12.2026,0,0,0,0,
132.08.12.2026,0,0,0,0,
134.03.12.2026,0,0,0,0,
136.08.12.2026,0,0,0,0,
132.11.12.2026,0,0,0,0,
134.12.12.2026,0,0,0,0,
109.01.12.2026,0,0,0,0,
109.06.12.2026,0,0,0,0,
133.08.12.2026,0,0,0,0,
135.03.12.2026,0,0,0,0,
132.03.12.2026,0,0,0,0,
133.12.12.2026,0,0,0,0,
137.08.12.2026,0,0,0,0,
109.08.12.2026,0,0,0,0,
109.09.12.2026,0,0,0,0,
108.03.12.2026,0,0,0,0,
136.09.12.2026,0,0,0,0,
111.06.12.2026,0,0,0,0,
134.03.12.2026,0,0,0,0,
132.10.12.2026,0,0,0,0,
132.09.12.2026,0,0,0,0,
135.08.12.2026,0,0,0,0,
132.10.12.2026,0,0,0,0,
068.10.12.2026,0,0,0,,2026-03-06T00:47:14.172Z
135.06.12.2026,0,0,0,0,
137.03.12.2026,0,0,0,0,
110.03.12.2026,0,0,0,0,
111.10.12.2026,0,0,0,0,
099.09.12.2026,0,0,0,0,
133.10.12.2026,0,0,0,0,
134.02.12.2026,0,0,0,0,
137.10.12.2026,0,0,0,0,
136.06.12.2026,0,0,0,0,
136.01.12.2026,0,0,0,0,
107.08.12.2026,0,0,0,0,
134.10.12.2026,0,0,0,0,
133.09.12.2026,0,0,0,0,
132.11.12.2026,0,0,0,0,
134.02.12.2026,0,0,0,0,
132.01.12.2026,0,0,0,0,
110.01.12.2026,0,0,0,0,
108.09.12.2026,0,0,0,0,
108.11.12.2026,0,0,0,0,
111.12.12.2026,0,0,0,0,
133.11.12.2026,0,0,0,0,
068.19.12.2026,0,0,0,0,
135.01.12.2026,0,0,0,0,
134.10.12.2026,0,0,0,0,
111.09.12.2026,0,0,0,0,
134.19.12.2026,0,0,0,0,
135.12.12.2026,0,0,0,0,
108.01.12.2026,0,0,0,0,
132.09.12.2026,0,0,0,0,
099.03.12.2026,0,0,0,0,
135.10.12.2026,0,0,0,0,
135.09.12.2026,0,0,0,0,
108.06.12.2026,0,0,0,0,
134.10.12.2026,0,0,0,0,
134.12.12.2026,0,0,0,0,
108.10.12.2026,0,0,0,0,
132.08.12.2026,0,0,0,0,
109.11.12.2026,0,0,0,0,
135.11.12.2026,0,0,0,0,
137.06.12.2026,0,0,0,0,
136.10.12.2026,0,0,0,0,
109.03.12.2026,0,0,0,0,
137.11.12.2026,0,0,0,0,
137.09.12.2026,0,0,0,0,
111.11.12.2026,0,0,0,0,
108.12.12.2026,0,0,0,0,
107.03.12.2026,0,0,0,0,
110.11.12.2026,0,0,0,0,
111.03.12.2026,0,0,0,0,
110.12.12.2026,0,0,0,0,
099.12.12.2026,0,0,0,0,
134.12.12.2026,0,0,0,0,
110.15.12.2026,0,0,0,0,
132.03.12.2026,0,0,0,0,
136.11.12.2026,0,0,0,0,
109.15.12.2026,0,0,0,0,
134.19.12.2026,0,0,0,0,
133.03.12.2026,0,0,0,0,
137.12.12.2026,0,0,0,0,
134.19.12.2026,0,0,0,0,
111.01.12.2026,0,0,0,0,
137.01.12.2026,0,0,0,0,
105.01.14.2026,0,0,0,0,
105.08.14.2026,0,0,0,0,
105.20.14.2026,0,0,0,0,
105.15.14.2026,0,0,0,0,
105.19.14.2026,0,0,0,0,
105.12.14.2026,0,0,0,0,
105.06.14.2026,0,0,0,0,
105.03.14.2026,0,0,0,0,
105.14.14.2026,0,0,0,0,
104.15.15.2026,0,0,0,0,
104.20.15.2026,0,0,0,0,
104.19.15.2026,0,0,0,0,
104.03.15.2026,0,0,0,0,
112.17.15.2026,"0,00",0,0,"271.000,00",
131.19.16.2026,0,0,0,0,
131.03.16.2026,0,0,0,0,
131.08.16.2026,0,0,0,0,
066.18.30.2026,0,0,0,,2026-03-06T18:10:11.587Z
066.21.30.2026,0,0,0,0,
103.03.34.2026,0,0,0,0,
103.14.34.2026,0,0,0,0,
103.10.34.2026,0,0,0,0,
103.19.34.2026,0,0,0,0,
103.08.34.2026,0,0,0,0,
103.20.34.2026,0,0,0,0,
103.12.34.2026,0,0,0,0,
103.15.34.2026,0,0,0,0,
103.02.34.2026,0,0,0,0,
130.11.36.2026,0,0,0,0,
130.06.36.2026,0,0,0,0,
130.07.36.2026,0,0,0,0,
130.10.36.2026,0,0,0,0,
130.08.36.2026,0,0,0,0,
130.16.36.2026,0,0,0,0,
130.02.36.2026,0,0,0,0,
130.03.36.2026,0,0,0,0,
130.15.36.2026,0,0,0,0,
130.19.36.2026,0,0,0,0,
130.01.36.2026,0,0,0,0,
130.05.36.2026,0,0,0,0,
130.12.36.2026,0,0,0,0,
130.20.36.2026,0,0,0,0,