ID;Numero_Emenda;Autor;Objeto;Destinacao;Valor;Funcao;Subfuncao;Status
"001.06.17.2026";"001.06.17.2026";"Elsa Natal de Oliveira";"Oficinas de Educação Ambiental e Cidadania para crianças e adolescentes";"CUSTEIO";"350.000,00";"";"";"elaboração"
"002.06.14.2026";"002.06.14.2026";"Elsa Natal de Oliveira";"Fortalecimento de vínculos por meio de espaços de encontro, escuta e troca entre indivíduos, familia e comunidade, por meio de atividades socioeducativas, culturais, esportivas e de lazer.";"AMBOS";"400.000,00";"";"";"Não Inciada"
"003.06.12.2026";"003.06.12.2026";"Elsa Natal de Oliveira";"Oficinas de Artes Marciais para crianças e adolescentes";"CUSTEIO";"100.000,00";"";"";"Não Inciada"
"004.04.34.2026";"004.04.34.2026";"Délbio Camargo Teruel";"Equipamentos tecnológicos de monitoramento, coomunicação e capacitação para ações de prevenção, preparação e resposta frente a situações de risco e desastres naturais.";"AMBOS";"100.000,00";"";"";"Não Inciada"
"005.04.20.2026";"005.04.20.2026";"Délbio Camargo Teruel";"Curso de Atendimento pré- hospitalar tático para agentes da GCM e outros servidores atuantes em situações de emergência.";"CUSTEIO";"300.000,00";"";"";"Não Inciada"
"006.04.14.2026";"006.04.14.2026";"Délbio Camargo Teruel";"Adequação e manutenção da sede da instituição para atendimento da população em serviço de convivência e fortalecimento de vínculos.";"AMBOS";"160.668,85";"";"";"Não Inciada"
"007.04.30.2026";"007.04.30.2026";"Délbio Camargo Teruel";"Serviços especializados para pessoas com deficiência e seus cuidadores em situação de vulnerabilidade Social.";"CUSTEIO";"150.000,00";"";"";"Não Inciada"
"008.04.12.2026";"008.04.12.2026";"Délbio Camargo Teruel";"Fomentar a prática esportiva de Futsal de forma integrativa e formativa.";"CUSTEIO";"150.000,00";"";"";"Não Inciada"
"009.04.02.2026";"009.04.02.2026";"Délbio Camargo Teruel";"Aquisição de Equipamentos e material de consumo para ensinar costura para pessoas em situação de vulnerabilidade e mobilizar a cidade em corrente de solidariedade";"AMBOS";"63.000,00";"";"";"Não Inciada"
"010.04.14.2026";"010.04.14.2026";"Délbio Camargo Teruel";"Encontro intergeracional entre idosos e jovens por meio da arte, cultura e sustentabilidade para geração de renda e estimulo de protagonismo social.";"CUSTEIO";"150.000,00";"";"";"Não Inciada"
"011.04.12.2026";"011.04.12.2026";"Délbio Camargo Teruel";"Promover ambiente esportivo mais saudável, equiilibrado e acolhedor com foco na saúde mental de atletas.";"CUSTEIO";"78.000,00";"";"";"Não Inciada"
"012.11.08.2026";"012.11.08.2026";"Gilmeiron Medeiros";"Cobertura da rampa de acessibilidade da EMEIEF SAAD BECHARA no bairro Piratininga";"INVESTIMENTO";"15.000,00";"";"";"Não Inciada"
"013.15.14.2026";"013.15.14.2026";"Laércio Patrício de Mendonça";"Ações Voltadas ao acesso a alimentação saudável e gratuitas para pessoas em situação de vulnerabilidade, formação de pessoas em panificação, empregabilidade e empreendedorismo.";"AMBOS";"120.000,00";"";"";"Não Inciada"
"014.15.15.2026";"014.15.15.2026";"Laércio Patrício de Mendonça";"Aulas de dança e cultura chinesa para crianças e adolescentes";"CUSTEIO";"120.000,00";"";"";"Não Inciada"
"015.15.14.2026";"015.15.14.2026";"Laércio Patrício de Mendonça";"Oficinas socioeducativas para convivência e fortalecimento de vínculos para crianças e adolescentes";"CUSTEIO";"50.000,00";"";"";"Não Inciada"
"016.15.07.2026";"016.15.07.2026";"Laércio Patrício de Mendonça";"Dinamicas em Grupo para Jovens em situação de vulnerabilidade, apoio para prevenção de evasão escolar e exposição ao crime, ampliação de oportunidades e direitos";"CUSTEIO";"200.000,00";"";"";"Não Inciada"
"017.14.02.2026";"017.14.02.2026";"Josias Nascimento de Jesus";"Recursos para o Fundo Especial de Manutenção de Serviços de Bombeiros";"CUSTEIO";"25.000,00";"";"";"Não Inciada"
"018.14.09.2026";"018.14.09.2026";"Josias Nascimento de Jesus";"Construção de uma sala na área externa da UBS Jaguaribe destinada a atividades cotidianas dos agentes comunitários de saúde.";"AMBOS";"300.000,00";"";"";"Não Inciada"
"019.14.08.2026";"019.14.08.2026";"Josias Nascimento de Jesus";"Reforma da quadra poliesportiva da EE José Ribeiro de Souza";"CUSTEIO";"150.000,00";"";"";"Não Inciada"
"020.14.12.2026";"020.14.12.2026";"Josias Nascimento de Jesus";"Aquisição de Materiais esportivos e destinados a competição e valorização do Esporte Amador";"CUSTEIO";"100.000,00";"";"";"Não Inciada"
"021.14.09.2026";"021.14.09.2026";"Josias Nascimento de Jesus";"Núcleo Terapeutico Multidiciplinar para pessoas com autismo";"CUSTEIO";"101.668,85";"";"";"Não Inciada"
"022.14.11.2026";"022.14.11.2026";"Josias Nascimento de Jesus";"Ações de gestão de resíduo sólidos e educação ambiental, coleta seletiva , manejo de resíduos reciclaveis, limpeza urbana, varrição de vias públicas, estimulo a sustentabilidade.";"AMBOS";"75.000,00";"";"";"Não Inciada"
"023.15.32.2026";"023.15.32.2026";"Laércio Patrício de Mendonça";"Capacitação em defesa pessoal e educação sobre prevenção ao assédio para mulheres acima de 18 anos com prioridade para situações de vulnerabilidade e regiões de maior incidência de violência";"CUSTEIO";"50.000,00";"";"";"Não Inciada"
"024.15.12.2026";"024.15.12.2026";"Laércio Patrício de Mendonça";"Apoio para equipes e atletas que representam a cidade de Osasco em modalidades esportivas.";"CUSTEIO";"50.000,00";"";"";"Não Inciada"
"025.09.09.2026";"025.09.09.2026";"Francisca Jenilúcia Ribeiro de Andrade";"Qualificação das atividades de reabilitação com aquisição de novos equipamentos para o centro de reabilitação para pessoas com deficiência.";"INVESTIMENTO";"151.668,85";"";"";"Não Inciada"
"026.07.09.2026";"026.07.09.2026";"Emerson Marcio Vitalino";"Fomento as atividades de saúde da população de Osasco";"AMBOS";"1.380.000,00";"";"";"Não Inciada"
"027.15.14.2026";"027.15.14.2026";"Laércio Patrício de Mendonça";"Aquisição de veículo para atendimento a população em projetos voltados para oficinas de idiomas, cursos profissionalizantes, atendimento psicologico e apoio ao imigrante.";"INVESTIMENTO";"120.000,00";"";"";"Não Inciada"
"028.19.11.2026";"028.19.11.2026";"Rodrigo Mendes Pascoto";"Melhoria da da fachada do mercado municipal.";"CUSTEIO";"91.668,85";"";"";"Não Inciada"
"029.19.12.2026";"029.19.12.2026";"Rodrigo Mendes Pascoto";"Inclusão Social e desenvolvimento de Futebol de Campo Base para crianças e adolescentes de famílias de baixa renda";"CUSTEIO";"100.000,00";"";"";"Não Inciada"
"030.19.14.2026";"030.19.14.2026";"Rodrigo Mendes Pascoto";"Construção e mão de obra para novas salas de aula multifuncionais para atendimento de crianças, jovens e adolescentes em situação de vulnerabilidade";"CUSTEIO";"100.000,00";"";"";"Não Inciada"
"031.13.15.2026";"031.13.15.2026";"Heber Rocha Farias";"Comunicação Visual da biblioteca Monteiro Lobato";"CUSTEIO";"100.000,00";"";"";"Não Inciada"
"032.13.11.2026";"032.13.11.2026";"Heber Rocha Farias";"Implantação de jardins de chuva, incluindo plantios de árvores, com o objetivo de ampliar áreas verdes e permeáveis na cidade";"CUSTEIO";"450.000,00";"";"";"Não Inciada"
"033.13.09.2026";"033.13.09.2026";"Heber Rocha Farias";"Fortalecer o funcionamento do Ambulatório de Saúde Integral para Travestis e Transexuais de Osasco";"AMBOS";"100.000,00";"";"";"Não Inciada"
"034.13.15.2026";"034.13.15.2026";"Heber Rocha Farias";"Realização do evento Parada LGBTQIAPN+";"CUSTEIO";"50.000,00";"";"";"Não Inciada"
"035.13.09.2026";"035.13.09.2026";"Heber Rocha Farias";"Aquisição de um aparelho para CAF (Cirurgia de Alta Frequência) para Unidade de Atenção Especializada em Saúde";"INVESTIMENTO";"23.580,00";"";"";"Não Inciada"
"036.13.34.2026";"036.13.34.2026";"Heber Rocha Farias";"Aquisição de drones para monitoramento de áreas de risco e desastres naturais como enchentes , deslizamentos de terra, alagamentos e incêndios em diferentes bairros com prioridade para áreas históricamente afetados.";"INVESTIMENTO";"30.000,00";"";"";"Não Inciada"
"037.13.09.2026";"037.13.09.2026";"Heber Rocha Farias";"Compra de um equipamento BERA (Brainstem Evoked Response Audiometry) para a rede municipal de Saúde de Osasco";"INVESTIMENTO";"154.589,98";"";"";"Não Inciada"
"038.13.09.2026";"038.13.09.2026";"Heber Rocha Farias";"Aquisição de um equipamento de Histeroscópio para a rede municipal de saúde de Osasco";"INVESTIMENTO";"375.000,00";"";"";"Não Inciada"
"039.13.16.2026";"039.13.16.2026";"Heber Rocha Farias";"Implantação de totens de segurança com tecnologia integrada, cameras de videomonitoramento e giroflex em pontos estratégicos de grande circulação";"INVESTIMENTO";"221.668,85";"";"";"Não Inciada"
"040.13.09.2026";"040.13.09.2026";"Heber Rocha Farias";"Aquisição de equipamentos, materiais permanentes e de consumo para a realização de exames e atendimentos do laboratório de IST/AIDS de Osasco";"CUSTEIO";"100.000,00";"";"";"Não Inciada"
"041.13.09.2026";"041.13.09.2026";"Heber Rocha Farias";"Reforma e implantação da Sala Sensorial Multidisciplinar, com aquisição de equipamentos e acessórios multisenssoriais";"CUSTEIO";"282.498,88";"";"";"Não Inciada"
"042.13.29.2026";"042.13.29.2026";"Heber Rocha Farias";"Implantação de um cursinho preparatório gratuíto para jovens e adolescentes em situação de vulnerabilidade social de Osasco";"CUSTEIO";"300.000,00";"";"";"Não Inciada"
"043.19.09.2026";"043.19.09.2026";"Rodrigo Mendes Pascoto";"Realizar atendimento fisioterapeutico em pacientes com disfunsão cardiorespiratório, músculo-esquelético ou neurofuncional";"AMBOS";"400.000,00";"";"";"Não Inciada"
"044.19.12.2026";"044.19.12.2026";"Rodrigo Mendes Pascoto";"Apoio às equipes de base de voleibol masculino que treinam nas quadras da Secretaria de Esportes";"CUSTEIO";"30.000,00";"";"";"Não Inciada"
"045.19.14.2026";"045.19.14.2026";"Rodrigo Mendes Pascoto";"Promover a inclusão digital e o fortalecimento por meio de formação tecnológica de crianças, adolescentes, adultos e idosos em situação de vulnerabilidade social";"AMBOS";"300.000,00";"";"";"Não Inciada"
"046.19.09.2026";"046.19.09.2026";"Rodrigo Mendes Pascoto";"Atendimento especializado para crianças e adolescentes com TEA e síndrome de Down";"AMBOS";"400.000,00";"";"";"Não Inciada"
"047.07.15.2026";"047.07.15.2026";"Emerson Marcio Vitalino";"Ações formativas culturais e raciais";"CUSTEIO";"250.000,00";"";"";"Não Inciada"
"048.07.15.2026";"048.07.15.2026";"Emerson Marcio Vitalino";"Promoção de ações culturais, com foco na valorização da cultura";"CUSTEIO";"300.000,00";"";"";"Não Inciada"
"049.02.12.2026";"049.02.12.2026";"Batista de Sousa Moreira";"Atendimento Sociodesportivo para desenvolvimento humano integral, inclusão social e cidadania para adolescentes em situação de vulnerabilidade";"AMBOS";"147.000,00";"";"";"Não Inciada"
"050.07.14.2026";"050.07.14.2026";"Emerson Marcio Vitalino";"Aquisição de um veículo de carga pra uso nas atividades sociais da Instituição.";"INVESTIMENTO";"323.337,71";"";"";"Não Inciada"
"051.02.15.2026";"051.02.15.2026";"Batista de Sousa Moreira";"Realizações de eventos culturais em diversas regiões da cidade";"CUSTEIO";"40.000,00";"";"";"Não Inciada"
"052.02.14.2026";"052.02.14.2026";"Batista de Sousa Moreira";"Serviço de convivência e fortalecimento de vínculos (SCFV), reforma e ampliação da infraestrutura física, da aquisição de veículo para transporte e oficinas socioassistenciais";"CUSTEIO";"809.668,85";"";"";"Não Inciada"
"053.02.30.2026";"053.02.30.2026";"Batista de Sousa Moreira";"Atendimento Multidiciplinar para crianças, jovens e adolescentes em situação de vulnerabilidade.";"CUSTEIO";"25.000,00";"";"";"Não Inciada"
"054.21.15.2026";"054.21.15.2026";"Stephane Carolina Rossi de Almeida Magdesian";"Manutenção, reparos e melhorias estruturais na Escola de Artes de Osasco";"CUSTEIO";"100.000,00";"";"";"Não Inciada"
"055.21.20.2026";"055.21.20.2026";"Stephane Carolina Rossi de Almeida Magdesian";"Aquisição de colete à prova de balas para a GCM";"INVESTIMENTO";"100.000,00";"";"";"Não Inciada"
"056.02.14.2026";"056.02.14.2026";"Batista de Sousa Moreira";"Promover o desenvolvimento integral de crianças e adolescentes do Serviço de Convivência e Fortalecimento de Vínculos";"CUSTEIO";"40.000,00";"";"";"Não Inciada"
"058.21.14.2026";"058.21.14.2026";"Stephane Carolina Rossi de Almeida Magdesian";"Oferecer atividades socioeducativas e culturais gratuitas para crianças e adolescentes";"CUSTEIO";"100.000,00";"";"";"Não Inciada"
"059.21.14.2026";"059.21.14.2026";"Stephane Carolina Rossi de Almeida Magdesian";"Aquisição de veículo para a realização de buscas de cestas básicas, banco de alimentos e outros donativos";"INVESTIMENTO";"100.000,00";"";"";"Não Inciada"
"060.21.30.2026";"060.21.30.2026";"Stephane Carolina Rossi de Almeida Magdesian";"Aquisição de veículo para a secretaria da pessoa com deficiência.";"INVESTIMENTO";"100.000,00";"";"";"Não Inciada"
"061.21.09.2026";"061.21.09.2026";"Stephane Carolina Rossi de Almeida Magdesian";"Qualificação das atividades de reabilitaçao com aquisição de novos equipamentos para o Centro de Reabilitação AACD";"INVESTIMENTO";"200.000,00";"";"";"Não Inciada"
"062.21.36.2026";"062.21.36.2026";"Stephane Carolina Rossi de Almeida Magdesian";"Programa Familias fortes para atendimentos de famílias vulneráveis do municipio de Osasco.";"CUSTEIO";"100.000,00";"";"";"Não Inciada"
"063.21.32.2026";"063.21.32.2026";"Stephane Carolina Rossi de Almeida Magdesian";"Aquisição de equipamentos para ampliação da capacidade de atendimento para mulheres em situação de vulnerabilidade e violência doméstica.";"INVESTIMENTO";"62.160,00";"";"";"Não Inciada"
"064.21.14.2026";"064.21.14.2026";"Stephane Carolina Rossi de Almeida Magdesian";"Capacitação sobre empreendedorismo para mulheres em situação de vulnerabilidade social.";"AMBOS";"55.000,00";"";"";"Não Inciada"
"065.21.08.2026";"065.21.08.2026";"Stephane Carolina Rossi de Almeida Magdesian";"Aquisição de equipamentos, mobiliário e materiais de consumo para a estruturação desalas de recursos multifuncionais especializadas em deficiência auditiva AEE/ DA (EMEF Prof. Terezinha Martins Pereira e CEMEIEF Maria Tarcilla Fornasaro Melli)";"AMBOS";"104.000,00";"";"";"Não Inciada"
"066.18.30.2026";"066.18.30.2026";"Ralfi Rafael da Silva";"Núcleo Terapêutico Multidiciplinar para pessoas com autismo";"Custeio";"150.000,00";"14";"242";"elaboração"
"066.21.30.2026";"066.21.30.2026";"Stephane Carolina Rossi de Almeida Magdesian";"Núcleo Terapêutico Multidiciplinar para pessoas com autismo";"Custeio";"150.000,00";"14";"242";"elaboração"
"067.18.30.2026";"067.18.30.2026";"Ralfi Rafael da Silva";"Realizar sondangens e emitir relatórios (laudos) neuropsicológicos de crianças matriculadas na rede municipal, estadual ou particular de Osasco";"CUSTEIO";"240.000,00";"";"";"Não Inciada"
"068.10.12.2026";"068.10.12.2026";"Gabriel de Paula Barbosa";"Desenvolvimento de oficinas esportivas e lúdicas para crianças e adolescentes no contraturno escolar";"Custeio";"100.000,00";"27";"812";"elaboração"
"068.17.12.2026";"068.17.12.2026";"Pedrinho Cantagessi Vitoriano";"Desenvolvimento de oficinas esportivas e lúdicas para crianças e adolescentes no contraturno escolar";"Custeio";"50.000,00";"27";"812";"elaboração"
"068.19.12.2026";"068.19.12.2026";"Rodrigo Mendes Pascoto";"Desenvolvimento de oficinas esportivas e lúdicas para crianças e adolescentes no contraturno escolar";"Custeio";"200.000,00";"27";"812";"elaboração"
"069.18.30.2026";"069.18.30.2026";"Ralfi Rafael da Silva";"Oficinas multidisciplinares voltadas ao desenvolvimento humano e socioemocional, por meio de interações estruturadas e fundamentadas em práticas científicas, com base na Análise do Comportamento Aplicada (ABA).";"CUSTEIO";"395.000,00";"";"";"Não Inciada"
"070.18.30.2026";"070.18.30.2026";"Ralfi Rafael da Silva";"Autossuficiência energética para a Associação Pestalozzi de Osasco";"INVESTIMENTOS";"100.000,00";"";"";"Não Inciada"
"071.17.09.2026";"071.17.09.2026";"Pedrinho Cantagessi Vitoriano";"Atendimento especializado para terapias, intervenções de estimulação precoce, atendimento aos cuidadores por meio de práticas interativas complementares reconhecidas pelo SUS, para crianças com deficiência e seus cuidadores.";"CUSTEIO";"101.000,00";"";"";"Não Inciada"
"072.11.08.2026";"072.11.08.2026";"Gilmeiron Medeiros";"Cobertura da área de lazer da EMEF Hugo Ribeiro de Almeida";"INVESTIMENTO";"50.000,00";"";"";"Não Inciada"
"073.11.08.2026";"073.11.08.2026";"Gilmeiron Medeiros";"Cobertura da rampa de acessibilidade da EMEIEF Messias Gonçalves da Silva";"INVESTIMENTO";"50.000,00";"";"";"Não Inciada"
"074.10.09.2026";"074.10.09.2026";"Gabriel de Paula Barbosa";"Compra de equipamentos, materiais e softwares necessários para implantação da sala multissensorial na Policlínica da Zona Norte";"AMBOS";"390.000,00";"";"";"Não Inciada"
"075.17.12.2026";"075.17.12.2026";"Pedrinho Cantagessi Vitoriano";"Promover atividades esportivas como meio de inclusão social para crianças e adolescentes";"CUSTEIO";"500.000,00";"";"";"Não Inciada"
"076.17.13.2026";"076.17.13.2026";"Pedrinho Cantagessi Vitoriano";"Aquisição de equipamentos de Lazer a ser instalado no parque Nordestino";"INVESTIMENTO";"101.000,00";"";"";"Não Inciada"
"077.17.14.2026";"077.17.14.2026";"Pedrinho Cantagessi Vitoriano";"Compra de mobiliario para implantação do Serviço de convivência e fortalecimento de vínculos SCFV na Zona Norte.";"INVESTIMENTO";"100.000,00";"";"";"Não Inciada"
"078.02.09.2026";"078.02.09.2026";"Batista de Sousa Moreira";"Avaliação em crianças e adolescentes com suspeita de TEA e outras condições neurológicas";"Custeio";"126.668,85";"10";"302";"elaboração"
"078.02.09.2026";"078.02.09.2026";"Batista de Sousa Moreira";"Avaliação em crianças e adolescentes com suspeita de TEA e outras condições neurológicas";"Investimento";"25.000,00";"10";"302";"elaboração"
"078.21.09.2026";"078.21.09.2026";"Stephane Carolina Rossi de Almeida Magdesian";"Avaliação em crianças e adolescentes com suspeita de TEA e outras condições neurológicas";"Custeio";"125.000,00";"10";"302";"elaboração"
"078.21.09.2026";"078.21.09.2026";"Stephane Carolina Rossi de Almeida Magdesian";"Avaliação em crianças e adolescentes com suspeita de TEA e outras condições neurológicas";"Investimento";"25.000,00";"10";"302";"elaboração"
"079.21.14.2026";"079.21.14.2026";"Stephane Carolina Rossi de Almeida Magdesian";"Oficinas de matemática e rodas de conversa com famílias e responsáveis";"CUSTEIO";"100.000,00";"";"";"Não Inciada"
"080.12.09.2026";"080.12.09.2026";"Guilherme de Prado Souza";"Qualificação das atividades de reabilitação com aquisição de novos equipamentos para o centro de reabilitação da AACD";"INVESTIMENTO";"100.000,00";"";"";"Não Inciada"
"081.12.14.2026";"081.12.14.2026";"Guilherme de Prado Souza";"Futebol e acompanhamento psicossocial para crianças e adolescentes";"CUSTEIO";"125.000,00";"";"";"Não Inciada"
"082.12.09.2026";"082.12.09.2026";"Guilherme de Prado Souza";"Avaliação em crianças e adolescentes com suspeita de TEA e outras condições neurológicas";"CUSTEIO";"100.000,00";"";"";"Não Inciada"
"083.12.17.2026";"083.12.17.2026";"Guilherme de Prado Souza";"Manutenção e requalificação do Borboletário";"CUSTEIO";"30.000,00";"";"";"Não Inciada"
"084.12.09.2026";"084.12.09.2026";"Guilherme de Prado Souza";"Ampliar o acesso da população de Osasco a atendimentos médicos de forma humanizada e gratuita, em parceria com a prefeitura de Osasco";"CUSTEIO";"100.000,00";"";"";"Não Inciada"
"085.12.30.2026";"085.12.30.2026";"Guilherme de Prado Souza";"Promover atendimento psicossocial, oficinas de fortalecimento e apoio comunitário para mães atípicas, visando acolhimento, bem estar emocional, desenvolvimento de apoio e fortalecimento de autonomia";"CUSTEIO";"200.000,00";"";"";"Não Inciada"
"086.12.09.2026";"086.12.09.2026";"Guilherme de Prado Souza";"Atendimento para crianças especializados para o desenvolvimento e evolução da criança e adolescente com TEA e síndrome de Down";"CUSTEIO";"401.668,85";"";"";"Não Inciada"
"087.12.12.2026";"087.12.12.2026";"Guilherme de Prado Souza";"Ensino e prática do futebol para crianças e adolescentes em situação de vulnerabilidade social";"CUSTEIO";"100.000,00";"";"";"Não Inciada"
"088.12.14.2026";"088.12.14.2026";"Guilherme de Prado Souza";"Oferta de óculos à população de baixa renda";"CUSTEIO";"50.000,00";"";"";"Não Inciada"
"089.12.09.2026";"089.12.09.2026";"Guilherme de Prado Souza";"Promoção de ações de saúde integral para cuidadores e familiares de pessoas com deficiência.";"CUSTEIO";"100.000,00";"";"";"Não Inciada"
"090.05.09.2026";"090.05.09.2026";"Elania Silva de Lima";"Equipamentos para atividades de reabilitação voltadas ao atendimento de pessoas com deficiência.";"INVESTIMENTO";"50.000,00";"";"";"Não Inciada"
"091.05.15.2026";"091.05.15.2026";"Elania Silva de Lima";"Instalação de cobertura na pista de skate e acústica de uma sala para torná-la estúdio de música";"CUSTEIO";"200.000,00";"";"";"Não Inciada"
"092.16.09.2026";"092.16.09.2026";"Paulo José da Silva Junior";"Compra de equipamentos, reforma e obra para ampliação e estruturação de leitos da emergência do Hospital Antonio Giglio";"CUSTEIO";"2.278.337,71";"";"";"Não Inciada"
"093.08.14.2026";"093.08.14.2026";"Fabio Chirinhan";"Atendimento de crianças, adolescentes e suas famílias atendidas pelo serviço de convivência e fortalecimento de vínculos";"AMBOS";"200.000,00";"";"";"Não Inciada"
"094.05.14.2026";"094.05.14.2026";"Elania Silva de Lima";"Construção e Implantação da Arena Esportiva para atendimento comunitario de pessoas em situação de vulnerabilidade.";"INVESTIMENTO";"500.000,00";"";"";"Não Inciada"
